phrase_id,category,subcategory,canonical_text,tts_text,key_terms,difficulty
CLIN3_00054,Aminas e inotrópicos,Cobertura clínica optimizada,Vasopresina continúa a dosis fija sin titulación.,Vasopresina continúa a dosis fija sin titulación.,vasopresina|dosis fija,challenge
CLIN3_00055,Aminas e inotrópicos,Cobertura clínica optimizada,"Se requiere triple soporte vasoactivo con norepinefrina, vasopresina y epinefrina.","Se requiere triple soporte vasoactivo con norepinefrina, vasopresina y epinefrina.",norepinefrina|vasopresina|epinefrina,challenge
CLIN3_00056,Antimicrobianos,Administración,"Meropenem 2 g cada 8 horas, en infusión extendida.","Meropenem dos gramos cada ocho horas, en infusión extendida.",meropenem|2 g cada 8 horas|en infusión extendida,hard
CLIN3_00057,Antimicrobianos,Administración,"Meropenem 2 g cada 8 horas, en infusión continua.","Meropenem dos gramos cada ocho horas, en infusión continua.",meropenem|2 g cada 8 horas|en infusión continua,hard
CLIN3_00058,Antimicrobianos,Administración,"Meropenem 2 g cada 8 horas, con ajuste renal.","Meropenem dos gramos cada ocho horas, con ajuste renal.",meropenem|2 g cada 8 horas|con ajuste renal,hard
CLIN3_00059,Antimicrobianos,Administración,"Meropenem 2 g cada 8 horas, sin ajuste renal.","Meropenem dos gramos cada ocho horas, sin ajuste renal.",meropenem|2 g cada 8 horas|sin ajuste renal,hard
CLIN3_00060,Antimicrobianos,Administración,"Meropenem 2 g cada 8 horas, con monitorización de niveles.","Meropenem dos gramos cada ocho horas, con monitorización de niveles.",meropenem|2 g cada 8 horas|con monitorización de niveles,hard
CLIN3_00061,Antimicrobianos,Administración,"Piperacilina tazobactam 4.5 g cada 6 horas, en infusión extendida.","Piperacilina tazobactam cuatro punto cinco gramos cada seis horas, en infusión extendida.",piperacilina tazobactam|4.5 g cada 6 horas|en infusión extendida,hard
CLIN3_00062,Antimicrobianos,Administración,"Piperacilina tazobactam 4.5 g cada 6 horas, en infusión continua.","Piperacilina tazobactam cuatro punto cinco gramos cada seis horas, en infusión continua.",piperacilina tazobactam|4.5 g cada 6 horas|en infusión continua,hard
CLIN3_00063,Antimicrobianos,Administración,"Piperacilina tazobactam 4.5 g cada 6 horas, con ajuste renal.","Piperacilina tazobactam cuatro punto cinco gramos cada seis horas, con ajuste renal.",piperacilina tazobactam|4.5 g cada 6 horas|con ajuste renal,hard
CLIN3_00064,Antimicrobianos,Administración,"Piperacilina tazobactam 4.5 g cada 6 horas, sin ajuste renal.","Piperacilina tazobactam cuatro punto cinco gramos cada seis horas, sin ajuste renal.",piperacilina tazobactam|4.5 g cada 6 horas|sin ajuste renal,hard
CLIN3_00065,Antimicrobianos,Administración,"Piperacilina tazobactam 4.5 g cada 6 horas, con monitorización de niveles.","Piperacilina tazobactam cuatro punto cinco gramos cada seis horas, con monitorización de niveles.",piperacilina tazobactam|4.5 g cada 6 horas|con monitorización de niveles,hard
CLIN3_00066,Antimicrobianos,Administración,"Cefepime 2 g cada 8 horas, en infusión extendida.","Cefepime dos gramos cada ocho horas, en infusión extendida.",cefepime|2 g cada 8 horas|en infusión extendida,hard
CLIN3_00067,Antimicrobianos,Administración,"Cefepime 2 g cada 8 horas, en infusión continua.","Cefepime dos gramos cada ocho horas, en infusión continua.",cefepime|2 g cada 8 horas|en infusión continua,hard
CLIN3_00068,Antimicrobianos,Administración,"Cefepime 2 g cada 8 horas, con ajuste renal.","Cefepime dos gramos cada ocho horas, con ajuste renal.",cefepime|2 g cada 8 horas|con ajuste renal,hard
CLIN3_00069,Antimicrobianos,Administración,"Cefepime 2 g cada 8 horas, sin ajuste renal.","Cefepime dos gramos cada ocho horas, sin ajuste renal.",cefepime|2 g cada 8 horas|sin ajuste renal,hard
CLIN3_00070,Antimicrobianos,Administración,"Cefepime 2 g cada 8 horas, con monitorización de niveles.","Cefepime dos gramos cada ocho horas, con monitorización de niveles.",cefepime|2 g cada 8 horas|con monitorización de niveles,hard
CLIN3_00071,Antimicrobianos,Administración,"Ceftazidima avibactam 2.5 g cada 8 horas, en infusión extendida.","Ceftazidima avibactam dos punto cinco gramos cada ocho horas, en infusión extendida.",ceftazidima avibactam|2.5 g cada 8 horas|en infusión extendida,hard
CLIN3_00072,Antimicrobianos,Administración,"Ceftazidima avibactam 2.5 g cada 8 horas, en infusión continua.","Ceftazidima avibactam dos punto cinco gramos cada ocho horas, en infusión continua.",ceftazidima avibactam|2.5 g cada 8 horas|en infusión continua,hard
CLIN3_00073,Antimicrobianos,Administración,"Ceftazidima avibactam 2.5 g cada 8 horas, con ajuste renal.","Ceftazidima avibactam dos punto cinco gramos cada ocho horas, con ajuste renal.",ceftazidima avibactam|2.5 g cada 8 horas|con ajuste renal,hard
CLIN3_00074,Antimicrobianos,Administración,"Ceftazidima avibactam 2.5 g cada 8 horas, sin ajuste renal.","Ceftazidima avibactam dos punto cinco gramos cada ocho horas, sin ajuste renal.",ceftazidima avibactam|2.5 g cada 8 horas|sin ajuste renal,hard
CLIN3_00075,Antimicrobianos,Administración,"Ceftazidima avibactam 2.5 g cada 8 horas, con monitorización de niveles.","Ceftazidima avibactam dos punto cinco gramos cada ocho horas, con monitorización de niveles.",ceftazidima avibactam|2.5 g cada 8 horas|con monitorización de niveles,hard
CLIN3_00076,Antimicrobianos,Administración,"Ceftolozano tazobactam 3 g cada 8 horas, en infusión extendida.","Ceftolozano tazobactam tres gramos cada ocho horas, en infusión extendida.",ceftolozano tazobactam|3 g cada 8 horas|en infusión extendida,hard
CLIN3_00077,Antimicrobianos,Administración,"Ceftolozano tazobactam 3 g cada 8 horas, en infusión continua.","Ceftolozano tazobactam tres gramos cada ocho horas, en infusión continua.",ceftolozano tazobactam|3 g cada 8 horas|en infusión continua,hard
CLIN3_00078,Antimicrobianos,Administración,"Ceftolozano tazobactam 3 g cada 8 horas, con ajuste renal.","Ceftolozano tazobactam tres gramos cada ocho horas, con ajuste renal.",ceftolozano tazobactam|3 g cada 8 horas|con ajuste renal,hard
CLIN3_00079,Antimicrobianos,Administración,"Ceftolozano tazobactam 3 g cada 8 horas, sin ajuste renal.","Ceftolozano tazobactam tres gramos cada ocho horas, sin ajuste renal.",ceftolozano tazobactam|3 g cada 8 horas|sin ajuste renal,hard
CLIN3_00080,Antimicrobianos,Administración,"Ceftolozano tazobactam 3 g cada 8 horas, con monitorización de niveles.","Ceftolozano tazobactam tres gramos cada ocho horas, con monitorización de niveles.",ceftolozano tazobactam|3 g cada 8 horas|con monitorización de niveles,hard
CLIN3_00081,Antimicrobianos,Administración,"Aztreonam 2 g cada 8 horas, en infusión extendida.","Aztreonam dos gramos cada ocho horas, en infusión extendida.",aztreonam|2 g cada 8 horas|en infusión extendida,hard
CLIN3_00082,Antimicrobianos,Administración,"Aztreonam 2 g cada 8 horas, en infusión continua.","Aztreonam dos gramos cada ocho horas, en infusión continua.",aztreonam|2 g cada 8 horas|en infusión continua,hard
CLIN3_00083,Antimicrobianos,Administración,"Aztreonam 2 g cada 8 horas, con ajuste renal.","Aztreonam dos gramos cada ocho horas, con ajuste renal.",aztreonam|2 g cada 8 horas|con ajuste renal,hard
CLIN3_00084,Antimicrobianos,Administración,"Aztreonam 2 g cada 8 horas, sin ajuste renal.","Aztreonam dos gramos cada ocho horas, sin ajuste renal.",aztreonam|2 g cada 8 horas|sin ajuste renal,hard
CLIN3_00085,Antimicrobianos,Administración,"Aztreonam 2 g cada 8 horas, con monitorización de niveles.","Aztreonam dos gramos cada ocho horas, con monitorización de niveles.",aztreonam|2 g cada 8 horas|con monitorización de niveles,hard
CLIN3_00086,Antimicrobianos,Administración,"Vancomicina dosis guiada por AUC/MIC, en infusión extendida.","Vancomicina dosis gramosuiada por a u ce sobre mic, en infusión extendida.",vancomicina|dosis guiada por AUC/MIC|en infusión extendida,hard
CLIN3_00087,Antimicrobianos,Administración,"Vancomicina dosis guiada por AUC/MIC, en infusión continua.","Vancomicina dosis gramosuiada por a u ce sobre mic, en infusión continua.",vancomicina|dosis guiada por AUC/MIC|en infusión continua,hard
CLIN3_00088,Antimicrobianos,Administración,"Vancomicina dosis guiada por AUC/MIC, con ajuste renal.","Vancomicina dosis gramosuiada por a u ce sobre mic, con ajuste renal.",vancomicina|dosis guiada por AUC/MIC|con ajuste renal,hard
CLIN3_00089,Antimicrobianos,Administración,"Vancomicina dosis guiada por AUC/MIC, sin ajuste renal.","Vancomicina dosis gramosuiada por a u ce sobre mic, sin ajuste renal.",vancomicina|dosis guiada por AUC/MIC|sin ajuste renal,hard
CLIN3_00090,Antimicrobianos,Administración,"Vancomicina dosis guiada por AUC/MIC, con monitorización de niveles.","Vancomicina dosis gramosuiada por a u ce sobre mic, con monitorización de niveles.",vancomicina|dosis guiada por AUC/MIC|con monitorización de niveles,hard
CLIN3_00091,Antimicrobianos,Administración,"Linezolid 600 mg cada 12 horas, en infusión extendida.","Linezolid seiscientos miligramos cada doce horas, en infusión extendida.",linezolid|600 mg cada 12 horas|en infusión extendida,hard
CLIN3_00092,Antimicrobianos,Administración,"Linezolid 600 mg cada 12 horas, en infusión continua.","Linezolid seiscientos miligramos cada doce horas, en infusión continua.",linezolid|600 mg cada 12 horas|en infusión continua,hard
CLIN3_00093,Antimicrobianos,Administración,"Linezolid 600 mg cada 12 horas, con ajuste renal.","Linezolid seiscientos miligramos cada doce horas, con ajuste renal.",linezolid|600 mg cada 12 horas|con ajuste renal,hard
CLIN3_00094,Antimicrobianos,Administración,"Linezolid 600 mg cada 12 horas, sin ajuste renal.","Linezolid seiscientos miligramos cada doce horas, sin ajuste renal.",linezolid|600 mg cada 12 horas|sin ajuste renal,hard
CLIN3_00095,Antimicrobianos,Administración,"Linezolid 600 mg cada 12 horas, con monitorización de niveles.","Linezolid seiscientos miligramos cada doce horas, con monitorización de niveles.",linezolid|600 mg cada 12 horas|con monitorización de niveles,hard
CLIN3_00096,Antimicrobianos,Administración,"Daptomicina 10 mg/kg cada 24 horas, en infusión extendida.","Daptomicina diez miligramos por kilo cada veinticuatro horas, en infusión extendida.",daptomicina|10 mg/kg cada 24 horas|en infusión extendida,hard
CLIN3_00097,Antimicrobianos,Administración,"Daptomicina 10 mg/kg cada 24 horas, en infusión continua.","Daptomicina diez miligramos por kilo cada veinticuatro horas, en infusión continua.",daptomicina|10 mg/kg cada 24 horas|en infusión continua,hard
CLIN3_00098,Antimicrobianos,Administración,"Daptomicina 10 mg/kg cada 24 horas, con ajuste renal.","Daptomicina diez miligramos por kilo cada veinticuatro horas, con ajuste renal.",daptomicina|10 mg/kg cada 24 horas|con ajuste renal,hard
CLIN3_00099,Antimicrobianos,Administración,"Daptomicina 10 mg/kg cada 24 horas, sin ajuste renal.","Daptomicina diez miligramos por kilo cada veinticuatro horas, sin ajuste renal.",daptomicina|10 mg/kg cada 24 horas|sin ajuste renal,hard
CLIN3_00100,Antimicrobianos,Administración,"Daptomicina 10 mg/kg cada 24 horas, con monitorización de niveles.","Daptomicina diez miligramos por kilo cada veinticuatro horas, con monitorización de niveles.",daptomicina|10 mg/kg cada 24 horas|con monitorización de niveles,hard
CLIN3_00101,Antimicrobianos,Administración,"Amikacina 15 mg/kg cada 24 horas, en infusión extendida.","Amikacina quince miligramos por kilo cada veinticuatro horas, en infusión extendida.",amikacina|15 mg/kg cada 24 horas|en infusión extendida,hard
CLIN3_00102,Antimicrobianos,Administración,"Amikacina 15 mg/kg cada 24 horas, en infusión continua.","Amikacina quince miligramos por kilo cada veinticuatro horas, en infusión continua.",amikacina|15 mg/kg cada 24 horas|en infusión continua,hard
CLIN3_00103,Antimicrobianos,Administración,"Amikacina 15 mg/kg cada 24 horas, con ajuste renal.","Amikacina quince miligramos por kilo cada veinticuatro horas, con ajuste renal.",amikacina|15 mg/kg cada 24 horas|con ajuste renal,hard
CLIN3_00104,Antimicrobianos,Administración,"Amikacina 15 mg/kg cada 24 horas, sin ajuste renal.","Amikacina quince miligramos por kilo cada veinticuatro horas, sin ajuste renal.",amikacina|15 mg/kg cada 24 horas|sin ajuste renal,hard
CLIN3_00105,Antimicrobianos,Administración,"Amikacina 15 mg/kg cada 24 horas, con monitorización de niveles.","Amikacina quince miligramos por kilo cada veinticuatro horas, con monitorización de niveles.",amikacina|15 mg/kg cada 24 horas|con monitorización de niveles,hard
CLIN3_00106,Antimicrobianos,Administración,"Gentamicina 5 mg/kg cada 24 horas, en infusión extendida.","Gentamicina cinco miligramos por kilo cada veinticuatro horas, en infusión extendida.",gentamicina|5 mg/kg cada 24 horas|en infusión extendida,hard
CLIN3_00107,Antimicrobianos,Administración,"Gentamicina 5 mg/kg cada 24 horas, en infusión continua.","Gentamicina cinco miligramos por kilo cada veinticuatro horas, en infusión continua.",gentamicina|5 mg/kg cada 24 horas|en infusión continua,hard
CLIN3_00108,Antimicrobianos,Administración,"Gentamicina 5 mg/kg cada 24 horas, con ajuste renal.","Gentamicina cinco miligramos por kilo cada veinticuatro horas, con ajuste renal.",gentamicina|5 mg/kg cada 24 horas|con ajuste renal,hard
CLIN3_00109,Antimicrobianos,Administración,"Gentamicina 5 mg/kg cada 24 horas, sin ajuste renal.","Gentamicina cinco miligramos por kilo cada veinticuatro horas, sin ajuste renal.",gentamicina|5 mg/kg cada 24 horas|sin ajuste renal,hard
CLIN3_00110,Antimicrobianos,Administración,"Gentamicina 5 mg/kg cada 24 horas, con monitorización de niveles.","Gentamicina cinco miligramos por kilo cada veinticuatro horas, con monitorización de niveles.",gentamicina|5 mg/kg cada 24 horas|con monitorización de niveles,hard
CLIN3_00111,Arritmias,Ritmo y frecuencia,fibrilación auricular con frecuencia ventricular de 35 lpm.,fibrilación auricular con frecuencia ventricular de treinta y cinco latidos por minuto.,fibrilación auricular|frecuencia ventricular,hard
CLIN3_00112,Arritmias,Ritmo y frecuencia,fibrilación auricular con frecuencia ventricular de 45 lpm.,fibrilación auricular con frecuencia ventricular de cuarenta y cinco latidos por minuto.,fibrilación auricular|frecuencia ventricular,hard
CLIN3_00113,Arritmias,Ritmo y frecuencia,fibrilación auricular con frecuencia ventricular de 80 lpm.,fibrilación auricular con frecuencia ventricular de ochenta latidos por minuto.,fibrilación auricular|frecuencia ventricular,hard
CLIN3_00114,Arritmias,Ritmo y frecuencia,fibrilación auricular con frecuencia ventricular de 120 lpm.,fibrilación auricular con frecuencia ventricular de ciento veinte latidos por minuto.,fibrilación auricular|frecuencia ventricular,hard
CLIN3_00115,Arritmias,Ritmo y frecuencia,fibrilación auricular con frecuencia ventricular de 150 lpm.,fibrilación auricular con frecuencia ventricular de ciento cincuenta latidos por minuto.,fibrilación auricular|frecuencia ventricular,hard
CLIN3_00116,Arritmias,Ritmo y frecuencia,fibrilación auricular con frecuencia ventricular de 180 lpm.,fibrilación auricular con frecuencia ventricular de ciento ochenta latidos por minuto.,fibrilación auricular|frecuencia ventricular,hard
CLIN3_00117,Arritmias,Ritmo y frecuencia,flutter auricular con frecuencia ventricular de 35 lpm.,flutter auricular con frecuencia ventricular de treinta y cinco latidos por minuto.,flutter auricular|frecuencia ventricular,hard
CLIN3_00118,Arritmias,Ritmo y frecuencia,flutter auricular con frecuencia ventricular de 45 lpm.,flutter auricular con frecuencia ventricular de cuarenta y cinco latidos por minuto.,flutter auricular|frecuencia ventricular,hard
CLIN3_00119,Arritmias,Ritmo y frecuencia,flutter auricular con frecuencia ventricular de 80 lpm.,flutter auricular con frecuencia ventricular de ochenta latidos por minuto.,flutter auricular|frecuencia ventricular,hard
CLIN3_00120,Arritmias,Ritmo y frecuencia,flutter auricular con frecuencia ventricular de 120 lpm.,flutter auricular con frecuencia ventricular de ciento veinte latidos por minuto.,flutter auricular|frecuencia ventricular,hard
CLIN3_00121,Arritmias,Ritmo y frecuencia,flutter auricular con frecuencia ventricular de 150 lpm.,flutter auricular con frecuencia ventricular de ciento cincuenta latidos por minuto.,flutter auricular|frecuencia ventricular,hard
CLIN3_00122,Arritmias,Ritmo y frecuencia,flutter auricular con frecuencia ventricular de 180 lpm.,flutter auricular con frecuencia ventricular de ciento ochenta latidos por minuto.,flutter auricular|frecuencia ventricular,hard
CLIN3_00123,Arritmias,Ritmo y frecuencia,taquicardia supraventricular con frecuencia ventricular de 35 lpm.,taquicardia supraventricular con frecuencia ventricular de treinta y cinco latidos por minuto.,taquicardia supraventricular|frecuencia ventricular,hard
CLIN3_00124,Arritmias,Ritmo y frecuencia,taquicardia supraventricular con frecuencia ventricular de 45 lpm.,taquicardia supraventricular con frecuencia ventricular de cuarenta y cinco latidos por minuto.,taquicardia supraventricular|frecuencia ventricular,hard
