id,frase,etiqueta,familia,padecimiento
T0046,"tenía hipertensión cuando era joven",pasado,"copretérito","hipertensión"
T0047,"tenía asma cuando era joven",pasado,"copretérito","asma"
T0048,"tenía epilepsia cuando era joven",pasado,"copretérito","epilepsia"
T0049,"padeció neumonía en 2019",pasado,"pretérito + año","neumonía"
T0050,"padeció COVID-19 en 2019",pasado,"pretérito + año","COVID-19"
T0051,"padeció fractura en 2019",pasado,"pretérito + año","fractura"
T0052,"padeció cirugía en 2019",pasado,"pretérito + año","cirugía"
T0053,"padeció trombosis venosa en 2019",pasado,"pretérito + año","trombosis venosa"
T0054,"padeció embolia pulmonar en 2019",pasado,"pretérito + año","embolia pulmonar"
T0055,"padeció evento vascular cerebral en 2019",pasado,"pretérito + año","evento vascular cerebral"
T0056,"padeció hemorragia digestiva en 2019",pasado,"pretérito + año","hemorragia digestiva"
T0057,"padeció pancreatitis en 2019",pasado,"pretérito + año","pancreatitis"
T0058,"padeció infección urinaria en 2019",pasado,"pretérito + año","infección urinaria"
T0059,"padeció dengue en 2019",pasado,"pretérito + año","dengue"
T0060,"padeció hepatitis en 2019",pasado,"pretérito + año","hepatitis"
T0061,"padeció diabetes en 2019",pasado,"pretérito + año","diabetes"
T0062,"padeció hipertensión en 2019",pasado,"pretérito + año","hipertensión"
T0063,"padeció asma en 2019",pasado,"pretérito + año","asma"
T0064,"padeció epilepsia en 2019",pasado,"pretérito + año","epilepsia"
T0065,"sufrió neumonía hace dos meses",pasado,"pretérito + meses","neumonía"
T0066,"sufrió COVID-19 hace dos meses",pasado,"pretérito + meses","COVID-19"
T0067,"sufrió fractura hace dos meses",pasado,"pretérito + meses","fractura"
T0068,"sufrió cirugía hace dos meses",pasado,"pretérito + meses","cirugía"
T0069,"sufrió trombosis venosa hace dos meses",pasado,"pretérito + meses","trombosis venosa"
T0070,"sufrió embolia pulmonar hace dos meses",pasado,"pretérito + meses","embolia pulmonar"
T0071,"sufrió evento vascular cerebral hace dos meses",pasado,"pretérito + meses","evento vascular cerebral"
T0072,"sufrió hemorragia digestiva hace dos meses",pasado,"pretérito + meses","hemorragia digestiva"
T0073,"sufrió pancreatitis hace dos meses",pasado,"pretérito + meses","pancreatitis"
T0074,"sufrió infección urinaria hace dos meses",pasado,"pretérito + meses","infección urinaria"
T0075,"sufrió dengue hace dos meses",pasado,"pretérito + meses","dengue"
T0076,"sufrió hepatitis hace dos meses",pasado,"pretérito + meses","hepatitis"
T0077,"sufrió diabetes hace dos meses",pasado,"pretérito + meses","diabetes"
T0078,"sufrió hipertensión hace dos meses",pasado,"pretérito + meses","hipertensión"
T0079,"sufrió asma hace dos meses",pasado,"pretérito + meses","asma"
T0080,"sufrió epilepsia hace dos meses",pasado,"pretérito + meses","epilepsia"
T0081,"presentó neumonía en 2020",pasado,"pretérito + año","neumonía"
T0082,"presentó COVID-19 en 2020",pasado,"pretérito + año","COVID-19"
T0083,"presentó fractura en 2020",pasado,"pretérito + año","fractura"
T0084,"presentó cirugía en 2020",pasado,"pretérito + año","cirugía"
T0085,"presentó trombosis venosa en 2020",pasado,"pretérito + año","trombosis venosa"
T0086,"presentó embolia pulmonar en 2020",pasado,"pretérito + año","embolia pulmonar"
T0087,"presentó evento vascular cerebral en 2020",pasado,"pretérito + año","evento vascular cerebral"
T0088,"presentó hemorragia digestiva en 2020",pasado,"pretérito + año","hemorragia digestiva"
T0089,"presentó pancreatitis en 2020",pasado,"pretérito + año","pancreatitis"
T0090,"presentó infección urinaria en 2020",pasado,"pretérito + año","infección urinaria"
T0091,"presentó dengue en 2020",pasado,"pretérito + año","dengue"
T0092,"presentó hepatitis en 2020",pasado,"pretérito + año","hepatitis"
T0093,"presentó diabetes en 2020",pasado,"pretérito + año","diabetes"
T0094,"presentó hipertensión en 2020",pasado,"pretérito + año","hipertensión"
T0095,"presentó asma en 2020",pasado,"pretérito + año","asma"
T0096,"presentó epilepsia en 2020",pasado,"pretérito + año","epilepsia"
T0097,"anteriormente tuvo neumonía",pasado,"adverbio de anterioridad","neumonía"
T0098,"anteriormente tuvo COVID-19",pasado,"adverbio de anterioridad","COVID-19"
T0099,"anteriormente tuvo fractura",pasado,"adverbio de anterioridad","fractura"
T0100,"anteriormente tuvo cirugía",pasado,"adverbio de anterioridad","cirugía"
T0101,"anteriormente tuvo trombosis venosa",pasado,"adverbio de anterioridad","trombosis venosa"
T0102,"anteriormente tuvo embolia pulmonar",pasado,"adverbio de anterioridad","embolia pulmonar"
T0103,"anteriormente tuvo evento vascular cerebral",pasado,"adverbio de anterioridad","evento vascular cerebral"
T0104,"anteriormente tuvo hemorragia digestiva",pasado,"adverbio de anterioridad","hemorragia digestiva"
T0105,"anteriormente tuvo pancreatitis",pasado,"adverbio de anterioridad","pancreatitis"
T0106,"anteriormente tuvo infección urinaria",pasado,"adverbio de anterioridad","infección urinaria"
T0107,"anteriormente tuvo dengue",pasado,"adverbio de anterioridad","dengue"
T0108,"anteriormente tuvo hepatitis",pasado,"adverbio de anterioridad","hepatitis"
T0109,"anteriormente tuvo diabetes",pasado,"adverbio de anterioridad","diabetes"
T0110,"anteriormente tuvo hipertensión",pasado,"adverbio de anterioridad","hipertensión"
T0111,"anteriormente tuvo asma",pasado,"adverbio de anterioridad","asma"
T0112,"anteriormente tuvo epilepsia",pasado,"adverbio de anterioridad","epilepsia"
T0113,"en el pasado tuvo neumonía",pasado,"locución de pasado","neumonía"
T0114,"en el pasado tuvo COVID-19",pasado,"locución de pasado","COVID-19"
T0115,"en el pasado tuvo fractura",pasado,"locución de pasado","fractura"
T0116,"en el pasado tuvo cirugía",pasado,"locución de pasado","cirugía"
T0117,"en el pasado tuvo trombosis venosa",pasado,"locución de pasado","trombosis venosa"
T0118,"en el pasado tuvo embolia pulmonar",pasado,"locución de pasado","embolia pulmonar"
T0119,"en el pasado tuvo evento vascular cerebral",pasado,"locución de pasado","evento vascular cerebral"
T0120,"en el pasado tuvo hemorragia digestiva",pasado,"locución de pasado","hemorragia digestiva"
T0121,"en el pasado tuvo pancreatitis",pasado,"locución de pasado","pancreatitis"
T0122,"en el pasado tuvo infección urinaria",pasado,"locución de pasado","infección urinaria"
T0123,"en el pasado tuvo dengue",pasado,"locución de pasado","dengue"
T0124,"en el pasado tuvo hepatitis",pasado,"locución de pasado","hepatitis"
T0125,"en el pasado tuvo diabetes",pasado,"locución de pasado","diabetes"
T0126,"en el pasado tuvo hipertensión",pasado,"locución de pasado","hipertensión"
T0127,"en el pasado tuvo asma",pasado,"locución de pasado","asma"
T0128,"en el pasado tuvo epilepsia",pasado,"locución de pasado","epilepsia"
T0129,"tuvo neumonía de niño",pasado,"marca de etapa","neumonía"
T0130,"tuvo COVID-19 de niño",pasado,"marca de etapa","COVID-19"
T0131,"tuvo fractura de niño",pasado,"marca de etapa","fractura"
T0132,"tuvo cirugía de niño",pasado,"marca de etapa","cirugía"
T0133,"tuvo trombosis venosa de niño",pasado,"marca de etapa","trombosis venosa"
T0134,"tuvo embolia pulmonar de niño",pasado,"marca de etapa","embolia pulmonar"
T0135,"tuvo evento vascular cerebral de niño",pasado,"marca de etapa","evento vascular cerebral"
T0136,"tuvo hemorragia digestiva de niño",pasado,"marca de etapa","hemorragia digestiva"
T0137,"tuvo pancreatitis de niño",pasado,"marca de etapa","pancreatitis"
T0138,"tuvo infección urinaria de niño",pasado,"marca de etapa","infección urinaria"
T0139,"tuvo dengue de niño",pasado,"marca de etapa","dengue"
T0140,"tuvo hepatitis de niño",pasado,"marca de etapa","hepatitis"
T0141,"tuvo diabetes de niño",pasado,"marca de etapa","diabetes"
T0142,"tuvo hipertensión de niño",pasado,"marca de etapa","hipertensión"
T0143,"tuvo asma de niño",pasado,"marca de etapa","asma"
T0144,"tuvo epilepsia de niño",pasado,"marca de etapa","epilepsia"
T0145,"el año pasado tuvo neumonía",pasado,"pretérito + año pasado","neumonía"
T0146,"el año pasado tuvo COVID-19",pasado,"pretérito + año pasado","COVID-19"
T0147,"el año pasado tuvo fractura",pasado,"pretérito + año pasado","fractura"
T0148,"el año pasado tuvo cirugía",pasado,"pretérito + año pasado","cirugía"
T0149,"el año pasado tuvo trombosis venosa",pasado,"pretérito + año pasado","trombosis venosa"
T0150,"el año pasado tuvo embolia pulmonar",pasado,"pretérito + año pasado","embolia pulmonar"
T0151,"el año pasado tuvo evento vascular cerebral",pasado,"pretérito + año pasado","evento vascular cerebral"
T0152,"el año pasado tuvo hemorragia digestiva",pasado,"pretérito + año pasado","hemorragia digestiva"
T0153,"el año pasado tuvo pancreatitis",pasado,"pretérito + año pasado","pancreatitis"
T0154,"el año pasado tuvo infección urinaria",pasado,"pretérito + año pasado","infección urinaria"
T0155,"el año pasado tuvo dengue",pasado,"pretérito + año pasado","dengue"
T0156,"el año pasado tuvo hepatitis",pasado,"pretérito + año pasado","hepatitis"
T0157,"el año pasado tuvo diabetes",pasado,"pretérito + año pasado","diabetes"
T0158,"el año pasado tuvo hipertensión",pasado,"pretérito + año pasado","hipertensión"
T0159,"el año pasado tuvo asma",pasado,"pretérito + año pasado","asma"
T0160,"el año pasado tuvo epilepsia",pasado,"pretérito + año pasado","epilepsia"
T0161,"presentó neumonía meses atrás",pasado,"pretérito + atrás","neumonía"
T0162,"presentó COVID-19 meses atrás",pasado,"pretérito + atrás","COVID-19"
T0163,"presentó fractura meses atrás",pasado,"pretérito + atrás","fractura"
T0164,"presentó cirugía meses atrás",pasado,"pretérito + atrás","cirugía"
T0165,"presentó trombosis venosa meses atrás",pasado,"pretérito + atrás","trombosis venosa"
T0166,"presentó embolia pulmonar meses atrás",pasado,"pretérito + atrás","embolia pulmonar"
T0167,"presentó evento vascular cerebral meses atrás",pasado,"pretérito + atrás","evento vascular cerebral"
T0168,"presentó hemorragia digestiva meses atrás",pasado,"pretérito + atrás","hemorragia digestiva"
T0169,"presentó pancreatitis meses atrás",pasado,"pretérito + atrás","pancreatitis"
T0170,"presentó infección urinaria meses atrás",pasado,"pretérito + atrás","infección urinaria"
T0171,"presentó dengue meses atrás",pasado,"pretérito + atrás","dengue"
T0172,"presentó hepatitis meses atrás",pasado,"pretérito + atrás","hepatitis"
T0173,"presentó diabetes meses atrás",pasado,"pretérito + atrás","diabetes"
T0174,"presentó hipertensión meses atrás",pasado,"pretérito + atrás","hipertensión"
T0175,"presentó asma meses atrás",pasado,"pretérito + atrás","asma"
T0176,"presentó epilepsia meses atrás",pasado,"pretérito + atrás","epilepsia"
T0177,"hace tres años que tuvo neumonía",pasado,"hace…que + PRETÉRITO — el verbo manda","neumonía"
T0178,"hace tres años que tuvo COVID-19",pasado,"hace…que + PRETÉRITO — el verbo manda","COVID-19"
T0179,"hace tres años que tuvo fractura",pasado,"hace…que + PRETÉRITO — el verbo manda","fractura"
T0180,"hace tres años que tuvo cirugía",pasado,"hace…que + PRETÉRITO — el verbo manda","cirugía"
T0181,"hace tres años que tuvo trombosis venosa",pasado,"hace…que + PRETÉRITO — el verbo manda","trombosis venosa"
T0182,"hace tres años que tuvo embolia pulmonar",pasado,"hace…que + PRETÉRITO — el verbo manda","embolia pulmonar"
T0183,"hace tres años que tuvo evento vascular cerebral",pasado,"hace…que + PRETÉRITO — el verbo manda","evento vascular cerebral"
T0184,"hace tres años que tuvo hemorragia digestiva",pasado,"hace…que + PRETÉRITO — el verbo manda","hemorragia digestiva"
T0185,"hace tres años que tuvo pancreatitis",pasado,"hace…que + PRETÉRITO — el verbo manda","pancreatitis"
T0186,"hace tres años que tuvo infección urinaria",pasado,"hace…que + PRETÉRITO — el verbo manda","infección urinaria"
T0187,"hace tres años que tuvo dengue",pasado,"hace…que + PRETÉRITO — el verbo manda","dengue"
T0188,"hace tres años que tuvo hepatitis",pasado,"hace…que + PRETÉRITO — el verbo manda","hepatitis"
T0189,"hace tres años que tuvo diabetes",pasado,"hace…que + PRETÉRITO — el verbo manda","diabetes"
T0190,"hace tres años que tuvo hipertensión",pasado,"hace…que + PRETÉRITO — el verbo manda","hipertensión"
T0191,"hace tres años que tuvo asma",pasado,"hace…que + PRETÉRITO — el verbo manda","asma"
T0192,"hace tres años que tuvo epilepsia",pasado,"hace…que + PRETÉRITO — el verbo manda","epilepsia"
T0193,"ya se curó de neumonía",pasado,"resolución sin «le»","neumonía"
T0194,"ya se curó de COVID-19",pasado,"resolución sin «le»","COVID-19"
T0195,"ya se curó de fractura",pasado,"resolución sin «le»","fractura"
T0196,"ya se curó de cirugía",pasado,"resolución sin «le»","cirugía"
T0197,"ya se curó de trombosis venosa",pasado,"resolución sin «le»","trombosis venosa"
T0198,"ya se curó de embolia pulmonar",pasado,"resolución sin «le»","embolia pulmonar"
T0199,"ya se curó de evento vascular cerebral",pasado,"resolución sin «le»","evento vascular cerebral"
T0200,"ya se curó de hemorragia digestiva",pasado,"resolución sin «le»","hemorragia digestiva"
T0201,"ya se curó de pancreatitis",pasado,"resolución sin «le»","pancreatitis"
T0202,"ya se curó de infección urinaria",pasado,"resolución sin «le»","infección urinaria"
T0203,"ya se curó de dengue",pasado,"resolución sin «le»","dengue"
T0204,"ya se curó de hepatitis",pasado,"resolución sin «le»","hepatitis"
T0205,"ya se curó de diabetes",pasado,"resolución sin «le»","diabetes"
T0206,"ya se curó de hipertensión",pasado,"resolución sin «le»","hipertensión"
T0207,"ya se curó de asma",pasado,"resolución sin «le»","asma"
T0208,"ya se curó de epilepsia",pasado,"resolución sin «le»","epilepsia"
T0209,"se recuperó de neumonía",pasado,"resolución","neumonía"
T0210,"se recuperó de COVID-19",pasado,"resolución","COVID-19"
T0211,"se recuperó de fractura",pasado,"resolución","fractura"
T0212,"se recuperó de cirugía",pasado,"resolución","cirugía"
T0213,"se recuperó de trombosis venosa",pasado,"resolución","trombosis venosa"
T0214,"se recuperó de embolia pulmonar",pasado,"resolución","embolia pulmonar"
T0215,"se recuperó de evento vascular cerebral",pasado,"resolución","evento vascular cerebral"
T0216,"se recuperó de hemorragia digestiva",pasado,"resolución","hemorragia digestiva"
T0217,"se recuperó de pancreatitis",pasado,"resolución","pancreatitis"
T0218,"se recuperó de infección urinaria",pasado,"resolución","infección urinaria"
T0219,"se recuperó de dengue",pasado,"resolución","dengue"
T0220,"se recuperó de hepatitis",pasado,"resolución","hepatitis"
T0221,"se recuperó de diabetes",pasado,"resolución","diabetes"
T0222,"se recuperó de hipertensión",pasado,"resolución","hipertensión"
T0223,"se recuperó de asma",pasado,"resolución","asma"
T0224,"se recuperó de epilepsia",pasado,"resolución","epilepsia"
T0225,"ya se le quitó neumonía",pasado,"resolución con «le»","neumonía"
T0226,"ya se le quitó COVID-19",pasado,"resolución con «le»","COVID-19"
T0227,"ya se le quitó fractura",pasado,"resolución con «le»","fractura"
T0228,"ya se le quitó cirugía",pasado,"resolución con «le»","cirugía"
T0229,"ya se le quitó trombosis venosa",pasado,"resolución con «le»","trombosis venosa"
T0230,"ya se le quitó embolia pulmonar",pasado,"resolución con «le»","embolia pulmonar"
T0231,"ya se le quitó evento vascular cerebral",pasado,"resolución con «le»","evento vascular cerebral"
T0232,"ya se le quitó hemorragia digestiva",pasado,"resolución con «le»","hemorragia digestiva"
T0233,"ya se le quitó pancreatitis",pasado,"resolución con «le»","pancreatitis"
T0234,"ya se le quitó infección urinaria",pasado,"resolución con «le»","infección urinaria"
T0235,"ya se le quitó dengue",pasado,"resolución con «le»","dengue"
T0236,"ya se le quitó hepatitis",pasado,"resolución con «le»","hepatitis"
T0237,"ya se le quitó diabetes",pasado,"resolución con «le»","diabetes"
T0238,"ya se le quitó hipertensión",pasado,"resolución con «le»","hipertensión"
T0239,"ya se le quitó asma",pasado,"resolución con «le»","asma"
T0240,"ya se le quitó epilepsia",pasado,"resolución con «le»","epilepsia"
T0241,"desde hace tres años tiene neumonía",presente,"desde hace + presente","neumonía"
T0242,"desde hace tres años tiene COVID-19",presente,"desde hace + presente","COVID-19"
T0243,"desde hace tres años tiene fractura",presente,"desde hace + presente","fractura"
T0244,"desde hace tres años tiene cirugía",presente,"desde hace + presente","cirugía"
T0245,"desde hace tres años tiene trombosis venosa",presente,"desde hace + presente","trombosis venosa"
T0246,"desde hace tres años tiene embolia pulmonar",presente,"desde hace + presente","embolia pulmonar"
T0247,"desde hace tres años tiene evento vascular cerebral",presente,"desde hace + presente","evento vascular cerebral"
T0248,"desde hace tres años tiene hemorragia digestiva",presente,"desde hace + presente","hemorragia digestiva"
T0249,"desde hace tres años tiene pancreatitis",presente,"desde hace + presente","pancreatitis"
T0250,"desde hace tres años tiene infección urinaria",presente,"desde hace + presente","infección urinaria"
T0251,"desde hace tres años tiene dengue",presente,"desde hace + presente","dengue"
T0252,"desde hace tres años tiene hepatitis",presente,"desde hace + presente","hepatitis"
T0253,"desde hace tres años tiene diabetes",presente,"desde hace + presente","diabetes"
T0254,"desde hace tres años tiene hipertensión",presente,"desde hace + presente","hipertensión"
T0255,"desde hace tres años tiene asma",presente,"desde hace + presente","asma"
T0256,"desde hace tres años tiene epilepsia",presente,"desde hace + presente","epilepsia"
T0257,"tiene neumonía desde 2019",presente,"desde + año","neumonía"
T0258,"tiene COVID-19 desde 2019",presente,"desde + año","COVID-19"
T0259,"tiene fractura desde 2019",presente,"desde + año","fractura"
T0260,"tiene cirugía desde 2019",presente,"desde + año","cirugía"
T0261,"tiene trombosis venosa desde 2019",presente,"desde + año","trombosis venosa"
T0262,"tiene embolia pulmonar desde 2019",presente,"desde + año","embolia pulmonar"
T0263,"tiene evento vascular cerebral desde 2019",presente,"desde + año","evento vascular cerebral"
T0264,"tiene hemorragia digestiva desde 2019",presente,"desde + año","hemorragia digestiva"
T0265,"tiene pancreatitis desde 2019",presente,"desde + año","pancreatitis"
T0266,"tiene infección urinaria desde 2019",presente,"desde + año","infección urinaria"
T0267,"tiene dengue desde 2019",presente,"desde + año","dengue"
T0268,"tiene hepatitis desde 2019",presente,"desde + año","hepatitis"
T0269,"tiene diabetes desde 2019",presente,"desde + año","diabetes"
T0270,"tiene hipertensión desde 2019",presente,"desde + año","hipertensión"
T0271,"tiene asma desde 2019",presente,"desde + año","asma"
T0272,"tiene epilepsia desde 2019",presente,"desde + año","epilepsia"
T0273,"sigue con neumonía",presente,"continuidad explícita","neumonía"
T0274,"sigue con COVID-19",presente,"continuidad explícita","COVID-19"
T0275,"sigue con fractura",presente,"continuidad explícita","fractura"
T0276,"sigue con cirugía",presente,"continuidad explícita","cirugía"
T0277,"sigue con trombosis venosa",presente,"continuidad explícita","trombosis venosa"
T0278,"sigue con embolia pulmonar",presente,"continuidad explícita","embolia pulmonar"
T0279,"sigue con evento vascular cerebral",presente,"continuidad explícita","evento vascular cerebral"
T0280,"sigue con hemorragia digestiva",presente,"continuidad explícita","hemorragia digestiva"
T0281,"sigue con pancreatitis",presente,"continuidad explícita","pancreatitis"
T0282,"sigue con infección urinaria",presente,"continuidad explícita","infección urinaria"
T0283,"sigue con dengue",presente,"continuidad explícita","dengue"
T0284,"sigue con hepatitis",presente,"continuidad explícita","hepatitis"
T0285,"sigue con diabetes",presente,"continuidad explícita","diabetes"
T0286,"sigue con hipertensión",presente,"continuidad explícita","hipertensión"
T0287,"sigue con asma",presente,"continuidad explícita","asma"
T0288,"sigue con epilepsia",presente,"continuidad explícita","epilepsia"
T0289,"continúa con neumonía",presente,"continuidad explícita","neumonía"
T0290,"continúa con COVID-19",presente,"continuidad explícita","COVID-19"
T0291,"continúa con fractura",presente,"continuidad explícita","fractura"
T0292,"continúa con cirugía",presente,"continuidad explícita","cirugía"
T0293,"continúa con trombosis venosa",presente,"continuidad explícita","trombosis venosa"
T0294,"continúa con embolia pulmonar",presente,"continuidad explícita","embolia pulmonar"
T0295,"continúa con evento vascular cerebral",presente,"continuidad explícita","evento vascular cerebral"
T0296,"continúa con hemorragia digestiva",presente,"continuidad explícita","hemorragia digestiva"
T0297,"continúa con pancreatitis",presente,"continuidad explícita","pancreatitis"
T0298,"continúa con infección urinaria",presente,"continuidad explícita","infección urinaria"
T0299,"continúa con dengue",presente,"continuidad explícita","dengue"
T0300,"continúa con hepatitis",presente,"continuidad explícita","hepatitis"
T0301,"continúa con diabetes",presente,"continuidad explícita","diabetes"
T0302,"continúa con hipertensión",presente,"continuidad explícita","hipertensión"
T0303,"continúa con asma",presente,"continuidad explícita","asma"
T0304,"continúa con epilepsia",presente,"continuidad explícita","epilepsia"
T0305,"todavía tiene neumonía",presente,"adverbio de continuidad","neumonía"
T0306,"todavía tiene COVID-19",presente,"adverbio de continuidad","COVID-19"
T0307,"todavía tiene fractura",presente,"adverbio de continuidad","fractura"
T0308,"todavía tiene cirugía",presente,"adverbio de continuidad","cirugía"
T0309,"todavía tiene trombosis venosa",presente,"adverbio de continuidad","trombosis venosa"
T0310,"todavía tiene embolia pulmonar",presente,"adverbio de continuidad","embolia pulmonar"
T0311,"todavía tiene evento vascular cerebral",presente,"adverbio de continuidad","evento vascular cerebral"
T0312,"todavía tiene hemorragia digestiva",presente,"adverbio de continuidad","hemorragia digestiva"
T0313,"todavía tiene pancreatitis",presente,"adverbio de continuidad","pancreatitis"
T0314,"todavía tiene infección urinaria",presente,"adverbio de continuidad","infección urinaria"
T0315,"todavía tiene dengue",presente,"adverbio de continuidad","dengue"
T0316,"todavía tiene hepatitis",presente,"adverbio de continuidad","hepatitis"
T0317,"todavía tiene diabetes",presente,"adverbio de continuidad","diabetes"
T0318,"todavía tiene hipertensión",presente,"adverbio de continuidad","hipertensión"
T0319,"todavía tiene asma",presente,"adverbio de continuidad","asma"
T0320,"todavía tiene epilepsia",presente,"adverbio de continuidad","epilepsia"
T0321,"actualmente cursa con neumonía",presente,"adverbio de actualidad","neumonía"
T0322,"actualmente cursa con COVID-19",presente,"adverbio de actualidad","COVID-19"
T0323,"actualmente cursa con fractura",presente,"adverbio de actualidad","fractura"
T0324,"actualmente cursa con cirugía",presente,"adverbio de actualidad","cirugía"
T0325,"actualmente cursa con trombosis venosa",presente,"adverbio de actualidad","trombosis venosa"
T0326,"actualmente cursa con embolia pulmonar",presente,"adverbio de actualidad","embolia pulmonar"
T0327,"actualmente cursa con evento vascular cerebral",presente,"adverbio de actualidad","evento vascular cerebral"
T0328,"actualmente cursa con hemorragia digestiva",presente,"adverbio de actualidad","hemorragia digestiva"
T0329,"actualmente cursa con pancreatitis",presente,"adverbio de actualidad","pancreatitis"
T0330,"actualmente cursa con infección urinaria",presente,"adverbio de actualidad","infección urinaria"
T0331,"actualmente cursa con dengue",presente,"adverbio de actualidad","dengue"
T0332,"actualmente cursa con hepatitis",presente,"adverbio de actualidad","hepatitis"
T0333,"actualmente cursa con diabetes",presente,"adverbio de actualidad","diabetes"
T0334,"actualmente cursa con hipertensión",presente,"adverbio de actualidad","hipertensión"
T0335,"actualmente cursa con asma",presente,"adverbio de actualidad","asma"
T0336,"actualmente cursa con epilepsia",presente,"adverbio de actualidad","epilepsia"
T0337,"está en tratamiento por neumonía",presente,"tratamiento en curso","neumonía"
T0338,"está en tratamiento por COVID-19",presente,"tratamiento en curso","COVID-19"
T0339,"está en tratamiento por fractura",presente,"tratamiento en curso","fractura"
T0340,"está en tratamiento por cirugía",presente,"tratamiento en curso","cirugía"
T0341,"está en tratamiento por trombosis venosa",presente,"tratamiento en curso","trombosis venosa"
T0342,"está en tratamiento por embolia pulmonar",presente,"tratamiento en curso","embolia pulmonar"
T0343,"está en tratamiento por evento vascular cerebral",presente,"tratamiento en curso","evento vascular cerebral"
T0344,"está en tratamiento por hemorragia digestiva",presente,"tratamiento en curso","hemorragia digestiva"
T0345,"está en tratamiento por pancreatitis",presente,"tratamiento en curso","pancreatitis"
T0346,"está en tratamiento por infección urinaria",presente,"tratamiento en curso","infección urinaria"
T0347,"está en tratamiento por dengue",presente,"tratamiento en curso","dengue"
T0348,"está en tratamiento por hepatitis",presente,"tratamiento en curso","hepatitis"
