phrase_id,categoria,palabras_rotas,estado,canonical_text
CLIN3_00170,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 800 mL y balance neto 3000 mL en 24 horas."
CLIN3_00171,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 1500 mL y balance neto -1500 mL en 24 horas."
CLIN3_00172,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 1500 mL y balance neto -500 mL en 24 horas."
CLIN3_00173,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 1500 mL y balance neto 500 mL en 24 horas."
CLIN3_00174,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 1500 mL y balance neto 1500 mL en 24 horas."
CLIN3_00175,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 1500 mL y balance neto 3000 mL en 24 horas."
CLIN3_00176,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 2500 mL y balance neto -1500 mL en 24 horas."
CLIN3_00177,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 2500 mL y balance neto -500 mL en 24 horas."
CLIN3_00178,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 2500 mL y balance neto 500 mL en 24 horas."
CLIN3_00179,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 2500 mL y balance neto 1500 mL en 24 horas."
CLIN3_00180,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 2500 mL y balance neto 3000 mL en 24 horas."
CLIN3_00181,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 3500 mL y balance neto -1500 mL en 24 horas."
CLIN3_00182,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 3500 mL y balance neto -500 mL en 24 horas."
CLIN3_00183,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 3500 mL y balance neto 500 mL en 24 horas."
CLIN3_00184,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 3500 mL y balance neto 1500 mL en 24 horas."
CLIN3_00185,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 3500 mL y balance neto 3000 mL en 24 horas."
CLIN3_00186,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 800 mL y balance neto -1500 mL en 24 horas."
CLIN3_00187,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 800 mL y balance neto -500 mL en 24 horas."
CLIN3_00188,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 800 mL y balance neto 500 mL en 24 horas."
CLIN3_00189,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 800 mL y balance neto 1500 mL en 24 horas."
CLIN3_00190,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 800 mL y balance neto 3000 mL en 24 horas."
CLIN3_00191,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 1500 mL y balance neto -1500 mL en 24 horas."
CLIN3_00192,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 1500 mL y balance neto -500 mL en 24 horas."
CLIN3_00193,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 1500 mL y balance neto 500 mL en 24 horas."
CLIN3_00194,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 1500 mL y balance neto 1500 mL en 24 horas."
CLIN3_00195,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 1500 mL y balance neto 3000 mL en 24 horas."
CLIN3_00196,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 2500 mL y balance neto -1500 mL en 24 horas."
CLIN3_00197,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 2500 mL y balance neto -500 mL en 24 horas."
CLIN3_00198,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 2500 mL y balance neto 500 mL en 24 horas."
CLIN3_00199,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 2500 mL y balance neto 1500 mL en 24 horas."
CLIN3_00200,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 2500 mL y balance neto 3000 mL en 24 horas."
CLIN3_00201,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 3500 mL y balance neto -1500 mL en 24 horas."
CLIN3_00202,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 3500 mL y balance neto -500 mL en 24 horas."
CLIN3_00203,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 3500 mL y balance neto 500 mL en 24 horas."
CLIN3_00204,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 3500 mL y balance neto 1500 mL en 24 horas."
CLIN3_00205,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1800 mL, egresos 3500 mL y balance neto 3000 mL en 24 horas."
CLIN3_00206,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 0 mL y evacuaciones 0 mL."
CLIN3_00207,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 0 mL y evacuaciones 200 mL."
CLIN3_00208,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 0 mL y evacuaciones 500 mL."
CLIN3_00209,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 0 mL y evacuaciones 1000 mL."
CLIN3_00210,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 100 mL y evacuaciones 0 mL."
CLIN3_00211,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 100 mL y evacuaciones 200 mL."
CLIN3_00212,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 100 mL y evacuaciones 500 mL."
CLIN3_00213,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 100 mL y evacuaciones 1000 mL."
CLIN3_00214,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 300 mL y evacuaciones 0 mL."
CLIN3_00215,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 300 mL y evacuaciones 200 mL."
CLIN3_00216,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 300 mL y evacuaciones 500 mL."
CLIN3_00217,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 300 mL y evacuaciones 1000 mL."
CLIN3_00218,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 600 mL y evacuaciones 0 mL."
CLIN3_00219,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 600 mL y evacuaciones 200 mL."
CLIN3_00220,Balance hídrico,mililitros,REPARADA,"Diuresis 200 mL, drenajes 600 mL y evacuaciones 500 mL."
CLIN3_00221,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 0 de 4 y RASS -5."
CLIN3_00222,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 0 de 4 y RASS -4."
CLIN3_00223,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 1 de 4 y RASS -5."
CLIN3_00224,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 1 de 4 y RASS -4."
CLIN3_00225,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 2 de 4 y RASS -5."
CLIN3_00226,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 2 de 4 y RASS -4."
CLIN3_00227,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 4 de 4 y RASS -5."
CLIN3_00228,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 1 mcg/kg/min, TOF 4 de 4 y RASS -4."
CLIN3_00229,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 0 de 4 y RASS -5."
CLIN3_00230,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 0 de 4 y RASS -4."
CLIN3_00231,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 1 de 4 y RASS -5."
CLIN3_00232,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 1 de 4 y RASS -4."
CLIN3_00233,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 2 de 4 y RASS -5."
CLIN3_00234,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 2 de 4 y RASS -4."
CLIN3_00235,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 4 de 4 y RASS -5."
CLIN3_00236,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 2 mcg/kg/min, TOF 4 de 4 y RASS -4."
CLIN3_00237,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 0 de 4 y RASS -5."
CLIN3_00238,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 0 de 4 y RASS -4."
CLIN3_00239,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 1 de 4 y RASS -5."
CLIN3_00240,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 1 de 4 y RASS -4."
CLIN3_00241,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 2 de 4 y RASS -5."
CLIN3_00242,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 2 de 4 y RASS -4."
CLIN3_00243,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 4 de 4 y RASS -5."
CLIN3_00244,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 3 mcg/kg/min, TOF 4 de 4 y RASS -4."
CLIN3_00245,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 0 de 4 y RASS -5."
CLIN3_00246,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 0 de 4 y RASS -4."
CLIN3_00247,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 1 de 4 y RASS -5."
CLIN3_00248,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 1 de 4 y RASS -4."
CLIN3_00249,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 2 de 4 y RASS -5."
CLIN3_00250,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 2 de 4 y RASS -4."
CLIN3_00251,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 4 de 4 y RASS -5."
CLIN3_00252,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 4 mcg/kg/min, TOF 4 de 4 y RASS -4."
CLIN3_00253,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 0 de 4 y RASS -5."
CLIN3_00254,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 0 de 4 y RASS -4."
CLIN3_00255,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 1 de 4 y RASS -5."
CLIN3_00256,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 1 de 4 y RASS -4."
CLIN3_00257,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 2 de 4 y RASS -5."
CLIN3_00258,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 2 de 4 y RASS -4."
CLIN3_00259,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 4 de 4 y RASS -5."
CLIN3_00260,Bloqueo neuromuscular,microgramos,REPARADA,"Cisatracurio 5 mcg/kg/min, TOF 4 de 4 y RASS -4."
CLIN3_00267,Bloqueo neuromuscular,corrugramosador,REPARADA,Se documenta monitorización del corrugador superciliar.
CLIN3_00268,Bloqueo neuromuscular,pulgramosar,REPARADA,Se documenta monitorización del aductor del pulgar.
CLIN3_00275,Bloqueo neuromuscular,analgramosesia,REPARADA,Se documenta analgesia adecuada antes del bloqueo.
CLIN3_00276,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de norepinefrina, dilución 8 mg en 250 mL, velocidad 2 mL/h."
CLIN3_00277,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de norepinefrina, dilución 8 mg en 250 mL, velocidad 5 mL/h."
CLIN3_00278,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de norepinefrina, dilución 8 mg en 250 mL, velocidad 10 mL/h."
CLIN3_00279,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de norepinefrina, dilución 8 mg en 250 mL, velocidad 15 mL/h."
CLIN3_00280,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de norepinefrina, dilución 8 mg en 250 mL, velocidad 20 mL/h."
CLIN3_00281,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de norepinefrina, dilución 8 mg en 250 mL, velocidad 30 mL/h."
CLIN3_00282,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de propofol, dilución 1000 mg en 100 mL, velocidad 2 mL/h."
CLIN3_00283,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de propofol, dilución 1000 mg en 100 mL, velocidad 5 mL/h."
CLIN3_00284,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de propofol, dilución 1000 mg en 100 mL, velocidad 10 mL/h."
CLIN3_00285,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de propofol, dilución 1000 mg en 100 mL, velocidad 15 mL/h."
CLIN3_00286,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de propofol, dilución 1000 mg en 100 mL, velocidad 20 mL/h."
CLIN3_00287,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de propofol, dilución 1000 mg en 100 mL, velocidad 30 mL/h."
CLIN3_00288,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de fentanilo, dilución 2500 mcg en 50 mL, velocidad 2 mL/h."
CLIN3_00289,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de fentanilo, dilución 2500 mcg en 50 mL, velocidad 5 mL/h."
CLIN3_00290,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de fentanilo, dilución 2500 mcg en 50 mL, velocidad 10 mL/h."
CLIN3_00291,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de fentanilo, dilución 2500 mcg en 50 mL, velocidad 15 mL/h."
CLIN3_00292,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de fentanilo, dilución 2500 mcg en 50 mL, velocidad 20 mL/h."
CLIN3_00293,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de fentanilo, dilución 2500 mcg en 50 mL, velocidad 30 mL/h."
CLIN3_00294,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de midazolam, dilución 50 mg en 50 mL, velocidad 2 mL/h."
CLIN3_00295,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de midazolam, dilución 50 mg en 50 mL, velocidad 5 mL/h."
CLIN3_00296,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de midazolam, dilución 50 mg en 50 mL, velocidad 10 mL/h."
CLIN3_00297,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de midazolam, dilución 50 mg en 50 mL, velocidad 15 mL/h."
CLIN3_00298,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de midazolam, dilución 50 mg en 50 mL, velocidad 20 mL/h."
CLIN3_00299,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de midazolam, dilución 50 mg en 50 mL, velocidad 30 mL/h."
CLIN3_00300,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de dexmedetomidina, dilución 400 mcg en 100 mL, velocidad 2 mL/h."
CLIN3_00301,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de dexmedetomidina, dilución 400 mcg en 100 mL, velocidad 5 mL/h."
CLIN3_00302,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de dexmedetomidina, dilución 400 mcg en 100 mL, velocidad 10 mL/h."
CLIN3_00303,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de dexmedetomidina, dilución 400 mcg en 100 mL, velocidad 15 mL/h."
CLIN3_00304,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de dexmedetomidina, dilución 400 mcg en 100 mL, velocidad 20 mL/h."
CLIN3_00305,Bombas e infusiones,mcgramos mililitros,REPARADA,"Bomba de dexmedetomidina, dilución 400 mcg en 100 mL, velocidad 30 mL/h."
CLIN3_00306,Bombas e infusiones,mililitros,REPARADA,"Bomba de heparina, dilución 25000 U en 250 mL, velocidad 2 mL/h."
CLIN3_00307,Bombas e infusiones,mililitros,REPARADA,"Bomba de heparina, dilución 25000 U en 250 mL, velocidad 5 mL/h."
CLIN3_00308,Bombas e infusiones,mililitros,REPARADA,"Bomba de heparina, dilución 25000 U en 250 mL, velocidad 10 mL/h."
CLIN3_00309,Bombas e infusiones,mililitros,REPARADA,"Bomba de heparina, dilución 25000 U en 250 mL, velocidad 15 mL/h."
CLIN3_00310,Bombas e infusiones,mililitros,REPARADA,"Bomba de heparina, dilución 25000 U en 250 mL, velocidad 20 mL/h."
CLIN3_00311,Bombas e infusiones,mililitros,REPARADA,"Bomba de heparina, dilución 25000 U en 250 mL, velocidad 30 mL/h."
CLIN3_00312,Bombas e infusiones,mililitros,REPARADA,"Bomba de insulina, dilución 100 U en 100 mL, velocidad 2 mL/h."
CLIN3_00313,Bombas e infusiones,mililitros,REPARADA,"Bomba de insulina, dilución 100 U en 100 mL, velocidad 5 mL/h."
CLIN3_00314,Bombas e infusiones,mililitros,REPARADA,"Bomba de insulina, dilución 100 U en 100 mL, velocidad 10 mL/h."
CLIN3_00315,Bombas e infusiones,mililitros,REPARADA,"Bomba de insulina, dilución 100 U en 100 mL, velocidad 15 mL/h."
CLIN3_00316,Bombas e infusiones,mililitros,REPARADA,"Bomba de insulina, dilución 100 U en 100 mL, velocidad 20 mL/h."
CLIN3_00317,Bombas e infusiones,mililitros,REPARADA,"Bomba de insulina, dilución 100 U en 100 mL, velocidad 30 mL/h."
CLIN3_00318,Bombas e infusiones,mililitros,REPARADA,"Bomba de vasopresina, dilución 20 U en 100 mL, velocidad 2 mL/h."
CLIN3_00319,Bombas e infusiones,mililitros,REPARADA,"Bomba de vasopresina, dilución 20 U en 100 mL, velocidad 5 mL/h."
CLIN3_00320,Bombas e infusiones,mililitros,REPARADA,"Bomba de vasopresina, dilución 20 U en 100 mL, velocidad 10 mL/h."
CLIN3_00321,Bombas e infusiones,mililitros,REPARADA,"Bomba de vasopresina, dilución 20 U en 100 mL, velocidad 15 mL/h."
CLIN3_00322,Bombas e infusiones,mililitros,REPARADA,"Bomba de vasopresina, dilución 20 U en 100 mL, velocidad 20 mL/h."
CLIN3_00323,Bombas e infusiones,mililitros,REPARADA,"Bomba de vasopresina, dilución 20 U en 100 mL, velocidad 30 mL/h."
CLIN3_00324,Bombas e infusiones,miligramos mililitros,REPARADA,"Bomba de dobutamina, dilución 250 mg en 250 mL, velocidad 2 mL/h."
